date,season,venue,team1,team2,toss_winner,toss_decision,bat_first_team,winner
2026-04-23,2026,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings,Karachi Kings,field,Lahore Qalandars,Karachi Kings
2026-04-24,2026,"National Stadium, Karachi",Hyderabad Kingsmen,Islamabad United,Islamabad United,field,Hyderabad Kingsmen,Islamabad United
2026-04-25,2026,"Gaddafi Stadium, Lahore",Quetta Gladiators,Karachi Kings,Karachi Kings,field,Quetta Gladiators,Karachi Kings
2026-04-25,2026,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars,Lahore Qalandars,field,Peshawar Zalmi,Lahore Qalandars
2026-04-26,2026,"National Stadium, Karachi",Hyderabad Kingsmen,Rawalpindiz,Rawalpindiz,field,Hyderabad Kingsmen,Hyderabad Kingsmen
2026-04-26,2026,"National Stadium, Karachi",Multan Sultans,Islamabad United,Islamabad United,field,Multan Sultans,Islamabad United
2026-04-28,2026,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United,Islamabad United,field,Peshawar Zalmi,Peshawar Zalmi
2026-04-29,2026,"Gaddafi Stadium, Lahore",Multan Sultans,Hyderabad Kingsmen,Hyderabad Kingsmen,field,Multan Sultans,Hyderabad Kingsmen
2026-05-01,2026,"Gaddafi Stadium, Lahore",Hyderabad Kingsmen,Islamabad United,Islamabad United,field,Hyderabad Kingsmen,Hyderabad Kingsmen
2026-05-03,2026,"Gaddafi Stadium, Lahore",Hyderabad Kingsmen,Peshawar Zalmi,Peshawar Zalmi,field,Hyderabad Kingsmen,Peshawar Zalmi
2016-02-04,2015/16,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Quetta Gladiators
2016-02-05,2015/16,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,Karachi Kings,field,Lahore Qalandars,Karachi Kings
2016-02-05,2015/16,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,bat,Peshawar Zalmi,Peshawar Zalmi
2016-02-06,2015/16,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Karachi Kings,Quetta Gladiators
2016-02-06,2015/16,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,Peshawar Zalmi
2016-02-07,2015/16,Dubai International Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,Islamabad United
2016-02-07,2015/16,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Quetta Gladiators
2016-02-08,2015/16,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,Lahore Qalandars
2016-02-10,2015/16,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United,Islamabad United,field,Lahore Qalandars,Islamabad United
2016-02-11,2015/16,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Quetta Gladiators
2016-02-12,2015/16,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars,Lahore Qalandars,field,Karachi Kings,Karachi Kings
2016-02-12,2015/16,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,Peshawar Zalmi
2016-02-13,2015/16,Sharjah Cricket Stadium,Karachi Kings,Quetta Gladiators,Karachi Kings,bat,Karachi Kings,Quetta Gladiators
2016-02-13,2015/16,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,Lahore Qalandars
2016-02-14,2015/16,Sharjah Cricket Stadium,Karachi Kings,Islamabad United,Islamabad United,field,Karachi Kings,Islamabad United
2016-02-14,2015/16,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,bat,Quetta Gladiators,Peshawar Zalmi
2016-02-16,2015/16,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,Quetta Gladiators
2016-02-17,2015/16,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi,Karachi Kings,bat,Karachi Kings,Peshawar Zalmi
2016-02-17,2015/16,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United,Islamabad United,field,Lahore Qalandars,Islamabad United
2016-02-19,2015/16,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,Quetta Gladiators
2016-02-20,2015/16,Dubai International Cricket Stadium,Karachi Kings,Islamabad United,Islamabad United,field,Karachi Kings,Islamabad United
2016-02-21,2015/16,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,Islamabad United
2016-02-23,2015/16,Dubai International Cricket Stadium,Quetta Gladiators,Islamabad United,Islamabad United,field,Quetta Gladiators,Islamabad United
